A1,A2,A3,B1,B2,B3,C1,C2,C3,2-A1,2-A2,2-A3,2-B1,2-B2,2-B3,2-C1,2-C2,2-C3,
7,17,11,1,1,1,8,7,2,0,3,0,0,0,0,8,59,18,
6,15,11,0,1,1,6,8,4,0,5,0,0,0,0,9,62,19,
6,15,11,0,1,1,5,7,3,0,4,0,0,0,0,10,63,19,
8,15,10,0,1,1,7,8,4,0,4,1,0,0,0,11,65,20,
8,17,8,0,1,0,7,9,5,0,3,0,0,0,0,11,66,22,
7,18,11,0,1,0,7,10,5,0,3,0,0,0,0,13,67,23,
7,17,11,0,2,2,8,8,4,0,3,0,0,0,0,11,67,22,
9,18,11,0,2,1,5,10,5,0,2,0,0,0,0,14,68,24,
8,18,11,0,2,2,6,11,5,0,3,1,0,0,0,13,66,27,
9,19,11,0,3,1,7,11,4,0,2,0,0,0,0,15,67,25,
7,19,11,0,2,1,6,9,5,0,3,1,0,0,0,14,69,28,
8,19,11,1,2,0,6,11,4,0,3,0,0,0,0,14,69,24,
9,20,11,0,2,0,6,11,4,0,2,2,0,0,0,16,71,28,
7,19,10,0,1,1,7,11,5,0,3,1,0,0,0,16,69,27,
7,20,11,0,2,1,7,10,5,0,3,0,0,0,0,21,70,24,
8,20,11,0,2,2,7,10,4,0,3,0,0,0,0,23,72,25,
8,21,12,0,2,0,7,11,6,0,3,0,0,0,0,23,71,27,
8,19,10,0,1,2,6,10,3,0,3,1,0,0,0,30,70,30,
8,20,10,1,2,0,7,11,5,0,2,0,0,0,0,31,73,31,
7,18,12,0,2,1,8,10,5,0,2,0,0,0,0,28,73,27,
8,19,10,0,1,1,8,11,4,0,2,1,0,0,0,28,74,29,
7,20,11,0,2,2,6,9,4,0,2,1,0,0,0,28,72,30,
7,20,11,1,3,0,8,11,3,0,2,1,0,0,0,33,71,29,
8,19,10,0,2,1,7,10,4,0,3,0,0,0,0,32,73,27,
6,18,11,0,2,1,7,10,4,0,2,0,0,0,0,32,72,26,
9,18,9,0,1,0,7,10,5,0,2,0,0,0,0,34,71,26,
8,18,11,1,0,0,8,10,4,0,2,0,0,0,0,36,71,25,
7,17,10,0,2,0,7,10,5,1,4,1,0,0,0,37,68,27,
7,19,11,0,2,1,8,11,4,0,3,1,0,0,0,46,72,27,
9,20,13,0,2,1,7,9,5,2,4,1,0,0,0,47,69,30,
9,20,12,0,3,1,8,10,5,0,3,1,0,0,0,49,70,36,
7,20,12,0,3,1,6,11,6,0,4,1,0,0,0,51,75,37,
7,21,12,1,2,1,7,12,4,2,4,1,0,0,0,54,73,45,
9,22,13,0,3,1,8,13,5,0,5,2,0,0,0,51,79,54,
8,22,11,0,2,0,7,13,5,2,6,4,0,0,0,53,78,60,
9,22,11,2,3,1,6,13,5,2,4,3,0,0,0,56,84,63,
9,23,12,1,3,0,8,11,4,0,5,1,0,0,0,59,88,66,
9,24,13,0,3,1,5,13,5,3,3,2,0,0,0,59,88,72,
9,26,13,1,3,2,7,11,5,3,4,3,0,0,0,63,91,68,
8,24,12,0,4,2,7,12,6,3,5,3,0,0,0,64,93,69,
10,24,12,0,3,1,9,11,5,2,6,5,0,0,0,65,93,71,
9,26,12,1,3,0,8,13,6,3,7,3,0,0,0,67,93,72,
10,26,12,1,3,1,9,13,6,3,6,4,0,0,0,67,94,72,
8,26,12,2,3,0,7,11,5,4,7,4,0,0,0,67,96,78,
8,26,11,0,3,1,7,13,4,3,7,5,0,0,0,66,96,76,
8,26,11,1,4,1,9,15,5,4,8,4,0,0,0,67,96,77,
9,24,12,0,3,1,8,13,5,4,8,4,0,0,0,67,97,77,
8,26,12,0,4,2,8,12,5,3,7,4,0,0,0,63,89,73,
9,25,12,0,3,1,9,13,6,3,7,4,0,0,0,59,85,62,
7,21,12,0,2,0,8,11,5,1,4,1,0,0,0,49,75,48,
5,16,10,0,2,0,4,10,2,0,3,1,0,0,0,26,49,16,
5,13,8,0,2,1,3,5,1,0,3,0,0,0,0,0,43,10,
2,7,8,0,0,0,0,2,1,0,0,0,0,0,0,0,35,8,
3,4,8,0,0,1,0,0,1,0,1,0,0,0,0,0,22,3,
0,3,4,0,0,1,0,2,2,0,0,0,0,0,0,0,12,1,
1,1,3,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,
0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,
0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,
1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
2,0,2,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,
0,2,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,
2,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
2,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,
2,0,5,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,
1,0,7,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,
1,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
2,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,
3,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,
2,0,8,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,
3,2,6,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,
3,3,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,
4,2,8,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,
3,2,8,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,
4,2,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,
3,2,8,0,0,1,1,0,1,0,5,0,0,0,0,0,0,0,
1,2,8,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,
