A1,A2,A3,B1,B2,B3,C1,C2,C3,2-A1,2-A2,2-A3,2-B1,2-B2,2-B3,2-C1,2-C2,2-C3,
7,8,10,1,1,3,1,0,3,0,0,0,0,0,0,0,0,0,
6,8,9,2,3,2,3,2,2,1,2,0,0,0,0,0,0,0,
9,11,12,2,3,6,3,2,3,1,2,0,0,0,0,0,0,0,
10,16,19,4,5,6,2,2,3,3,2,0,0,0,0,0,0,0,
11,20,22,3,4,4,4,3,4,2,2,0,0,0,0,0,0,0,
13,25,28,4,3,4,4,2,2,0,1,0,0,0,0,0,0,0,
16,28,29,5,6,6,3,4,4,0,1,0,0,0,0,0,0,0,
17,33,32,5,7,8,4,3,2,0,0,0,0,0,0,0,0,0,
18,37,38,5,6,7,2,4,4,0,0,0,0,0,0,0,0,0,
20,47,39,4,10,8,4,4,3,0,0,0,0,0,0,0,0,0,
19,44,42,5,6,10,2,2,4,0,1,0,0,0,0,0,0,0,
23,49,44,8,12,10,4,5,4,0,1,0,0,0,0,0,0,0,
23,54,45,7,12,11,4,2,5,1,1,0,0,0,0,0,0,0,
23,53,47,10,13,13,4,6,5,0,1,0,0,0,0,0,0,0,
23,59,53,12,16,16,2,5,6,0,2,0,0,0,0,0,0,0,
23,61,54,14,18,18,5,4,6,0,1,0,0,0,0,0,0,0,
24,66,59,14,20,21,3,4,6,0,3,0,0,0,0,0,0,0,
26,65,57,18,22,21,3,6,6,0,1,0,0,0,0,0,0,0,
24,64,60,19,26,24,5,6,6,0,0,0,0,0,0,0,0,0,
25,66,60,20,28,29,4,6,5,0,2,0,0,0,0,1,1,0,
23,69,65,24,31,30,4,8,6,0,1,0,0,0,0,0,0,0,
24,70,67,23,35,32,5,10,7,0,0,0,0,0,0,0,0,0,
22,76,65,25,37,32,6,10,6,0,2,0,0,0,0,0,1,0,
21,73,69,24,36,35,6,9,7,0,0,0,0,0,0,0,0,0,
24,77,73,27,39,35,6,8,7,0,2,0,0,0,0,0,0,0,
23,77,73,27,44,38,5,9,8,0,2,0,0,0,0,0,0,0,
21,76,73,25,44,39,6,10,7,0,2,0,0,0,0,0,0,0,
21,80,72,23,44,39,5,9,7,0,1,0,0,0,0,0,2,0,
19,79,70,24,44,41,5,11,8,0,0,0,0,0,0,1,0,0,
19,70,59,21,40,34,5,10,7,0,4,0,0,0,0,0,0,0,
14,50,49,13,27,30,6,6,6,0,1,0,0,0,0,0,0,0,
15,46,42,14,24,25,5,5,5,1,2,0,0,0,0,0,0,0,
14,31,22,10,14,15,5,5,4,1,2,0,0,0,0,0,0,0,
9,20,16,9,11,10,4,3,3,1,1,0,0,0,0,0,0,0,
11,23,17,6,10,11,5,3,3,0,1,1,0,0,0,0,0,0,
10,22,17,5,10,8,5,4,5,1,0,3,0,0,0,0,1,2,
9,19,19,5,8,7,3,3,4,0,2,1,0,0,0,1,4,2,
10,19,18,5,6,6,2,4,5,0,7,6,0,0,0,1,6,4,
10,18,20,5,6,8,5,4,5,1,8,5,0,0,0,3,8,7,
10,18,18,6,6,8,4,4,6,3,12,9,0,0,0,4,14,9,
10,17,19,4,7,7,5,4,4,6,19,11,0,0,0,6,15,8,
10,17,19,7,8,7,5,5,5,11,23,14,0,0,0,8,18,12,
10,19,18,8,5,9,5,4,5,13,29,19,0,0,0,9,23,13,
10,19,20,4,6,7,5,4,5,18,32,24,0,0,0,10,24,16,
9,17,20,5,6,7,2,5,6,22,37,29,0,0,0,11,26,16,
10,17,18,4,5,7,4,4,6,20,36,34,0,0,0,12,28,17,
8,19,18,3,6,6,4,5,5,28,38,39,0,0,0,13,30,17,
9,20,17,5,7,7,3,6,4,28,46,42,0,0,0,12,30,18,
8,18,15,4,7,5,3,2,4,31,48,41,0,0,0,12,33,19,
7,16,14,3,4,4,4,2,3,32,54,47,0,0,0,15,35,19,
6,17,14,3,6,5,2,3,1,37,58,52,0,0,0,16,38,22,
7,13,15,4,8,5,0,2,2,41,63,53,0,0,0,16,41,22,
5,12,11,4,4,3,0,1,1,43,64,55,0,0,0,16,42,23,
